"","number","date","time","ticker","price"
"9529",163368419,2018-02-20,"13:00:01","USD000UTSTOM",56.715
"9530",163368420,2018-02-20,"13:00:01","USD000UTSTOM",56.715
"9531",163368421,2018-02-20,"13:00:01","USD000UTSTOM",56.715
"9532",163368422,2018-02-20,"13:00:01","USD000UTSTOM",56.7175
"9533",163368423,2018-02-20,"13:00:01","USD000UTSTOM",56.7175
"9534",163368424,2018-02-20,"13:00:01","USD000UTSTOM",56.7175
"9535",163368427,2018-02-20,"13:00:01","USD000UTSTOM",56.7175
"9536",163368432,2018-02-20,"13:00:01","USD000UTSTOM",56.7175
"9537",163368433,2018-02-20,"13:00:01","USD000UTSTOM",56.7175
"9538",163368436,2018-02-20,"13:00:02","USD000UTSTOM",56.72
"9539",163368437,2018-02-20,"13:00:02","USD000UTSTOM",56.72
"9540",163368438,2018-02-20,"13:00:02","USD000UTSTOM",56.72
"9541",163368452,2018-02-20,"13:00:03","USD000UTSTOM",56.72
"9542",163368453,2018-02-20,"13:00:03","USD000UTSTOM",56.72
"9543",163368464,2018-02-20,"13:00:04","USD000UTSTOM",56.7175
"9544",163368471,2018-02-20,"13:00:04","USD000UTSTOM",56.72
"9545",163368474,2018-02-20,"13:00:05","USD000UTSTOM",56.72
"9546",163368475,2018-02-20,"13:00:05","USD000UTSTOM",56.72
"9547",163368476,2018-02-20,"13:00:05","USD000UTSTOM",56.72
"9548",163368477,2018-02-20,"13:00:05","USD000UTSTOM",56.72
"9549",163368479,2018-02-20,"13:00:05","USD000UTSTOM",56.72
"9550",163368480,2018-02-20,"13:00:05","USD000UTSTOM",56.72
"9551",163368473,2018-02-20,"13:00:05","USD000UTSTOM",56.72
"9552",163368487,2018-02-20,"13:00:06","USD000UTSTOM",56.72
"9553",163368488,2018-02-20,"13:00:06","USD000UTSTOM",56.72
"9554",163368489,2018-02-20,"13:00:06","USD000UTSTOM",56.72
"9555",163368493,2018-02-20,"13:00:06","USD000UTSTOM",56.72
"9556",163368494,2018-02-20,"13:00:06","USD000UTSTOM",56.72
"9557",163368495,2018-02-20,"13:00:06","USD000UTSTOM",56.7225
"9558",163368503,2018-02-20,"13:00:06","USD000UTSTOM",56.72
"9559",163368508,2018-02-20,"13:00:06","USD000UTSTOM",56.72
"9560",163368509,2018-02-20,"13:00:06","USD000UTSTOM",56.72
"9561",163368502,2018-02-20,"13:00:06","USD000UTSTOM",56.72
"9562",163368481,2018-02-20,"13:00:06","USD000UTSTOM",56.72
"9563",163368482,2018-02-20,"13:00:06","USD000UTSTOM",56.72
"9564",163368483,2018-02-20,"13:00:06","USD000UTSTOM",56.72
"9565",163368484,2018-02-20,"13:00:06","USD000UTSTOM",56.72
"9566",163368485,2018-02-20,"13:00:06","USD000UTSTOM",56.72
"9567",163368486,2018-02-20,"13:00:06","USD000UTSTOM",56.72
"9568",163368510,2018-02-20,"13:00:07","USD000UTSTOM",56.7225
"9569",163368511,2018-02-20,"13:00:07","USD000UTSTOM",56.7225
"9570",163368513,2018-02-20,"13:00:07","USD000UTSTOM",56.7225
"9571",163368514,2018-02-20,"13:00:07","USD000UTSTOM",56.7225
"9572",163368515,2018-02-20,"13:00:07","USD000UTSTOM",56.7225
"9573",163368517,2018-02-20,"13:00:07","USD000UTSTOM",56.7225
"9574",163368568,2018-02-20,"13:00:08","USD000UTSTOM",56.7175
"9575",163368572,2018-02-20,"13:00:08","USD000UTSTOM",56.7175
"9576",163368571,2018-02-20,"13:00:08","USD000UTSTOM",56.715
"9577",163368570,2018-02-20,"13:00:08","USD000UTSTOM",56.7175
"9578",163368569,2018-02-20,"13:00:08","USD000UTSTOM",56.7175
"9579",163368565,2018-02-20,"13:00:08","USD000UTSTOM",56.7225
"9580",163368564,2018-02-20,"13:00:08","USD000UTSTOM",56.7225
"9581",163368528,2018-02-20,"13:00:08","USD000UTSTOM",56.725
"9582",163368519,2018-02-20,"13:00:08","USD000UTSTOM",56.7225
"9583",163368573,2018-02-20,"13:00:09","USD000UTSTOM",56.7225
"9584",163368582,2018-02-20,"13:00:09","USD000UTSTOM",56.725
"9585",163368586,2018-02-20,"13:00:09","USD000UTSTOM",56.7225
"9586",163368590,2018-02-20,"13:00:09","USD000UTSTOM",56.72
"9587",163368602,2018-02-20,"13:00:10","USD000UTSTOM",56.725
"9588",163368600,2018-02-20,"13:00:10","USD000UTSTOM",56.725
"9589",163368601,2018-02-20,"13:00:10","USD000UTSTOM",56.725
"9590",163368603,2018-02-20,"13:00:11","USD000UTSTOM",56.725
"9591",163368604,2018-02-20,"13:00:12","USD000UTSTOM",56.725
"9592",163368605,2018-02-20,"13:00:12","USD000UTSTOM",56.725
"9593",163368612,2018-02-20,"13:00:14","USD000UTSTOM",56.725
"9594",163368610,2018-02-20,"13:00:14","USD000UTSTOM",56.725
"9595",163368613,2018-02-20,"13:00:16","USD000UTSTOM",56.725
"9596",163368615,2018-02-20,"13:00:16","USD000UTSTOM",56.725
"9597",163368614,2018-02-20,"13:00:16","USD000UTSTOM",56.725
"9598",163368623,2018-02-20,"13:00:16","USD000UTSTOM",56.7225
"9599",163368622,2018-02-20,"13:00:16","USD000UTSTOM",56.725
"9600",163368620,2018-02-20,"13:00:16","USD000UTSTOM",56.725
"9601",163368619,2018-02-20,"13:00:16","USD000UTSTOM",56.725
"9602",163368618,2018-02-20,"13:00:16","USD000UTSTOM",56.725
"9603",163368617,2018-02-20,"13:00:16","USD000UTSTOM",56.725
"9604",163368616,2018-02-20,"13:00:16","USD000UTSTOM",56.725
"9605",163368627,2018-02-20,"13:00:17","USD000UTSTOM",56.7275
"9606",163368626,2018-02-20,"13:00:17","USD000UTSTOM",56.7275
"9607",163368625,2018-02-20,"13:00:17","USD000UTSTOM",56.7275
"9608",163368624,2018-02-20,"13:00:17","USD000UTSTOM",56.7275
"9609",163368628,2018-02-20,"13:00:18","USD000UTSTOM",56.7275
"9610",163368629,2018-02-20,"13:00:18","USD000UTSTOM",56.7275
"9611",163368630,2018-02-20,"13:00:19","USD000UTSTOM",56.7275
"9612",163368631,2018-02-20,"13:00:20","USD000UTSTOM",56.725
"9613",163368632,2018-02-20,"13:00:23","USD000UTSTOM",56.7225
"9614",163368634,2018-02-20,"13:00:23","USD000UTSTOM",56.72
"9615",163368633,2018-02-20,"13:00:23","USD000UTSTOM",56.72
"9616",163368644,2018-02-20,"13:00:24","USD000UTSTOM",56.72
"9617",163368643,2018-02-20,"13:00:24","USD000UTSTOM",56.72
"9618",163368638,2018-02-20,"13:00:24","USD000UTSTOM",56.72
"9619",163368637,2018-02-20,"13:00:24","USD000UTSTOM",56.72
"9620",163368636,2018-02-20,"13:00:24","USD000UTSTOM",56.7225
"9621",163368652,2018-02-20,"13:00:28","USD000UTSTOM",56.715
"9622",163368653,2018-02-20,"13:00:29","USD000UTSTOM",56.7175
"9623",163368659,2018-02-20,"13:00:29","USD000UTSTOM",56.72
"9624",163368661,2018-02-20,"13:00:31","USD000UTSTOM",56.72
"9625",163368662,2018-02-20,"13:00:31","USD000UTSTOM",56.7175
"9626",163368671,2018-02-20,"13:00:34","USD000UTSTOM",56.72
"9627",163368674,2018-02-20,"13:00:37","USD000UTSTOM",56.72
"9628",163368688,2018-02-20,"13:00:37","USD000UTSTOM",56.72
"9629",163368689,2018-02-20,"13:00:37","USD000UTSTOM",56.72
"9630",163368690,2018-02-20,"13:00:37","USD000UTSTOM",56.72
"9631",163368691,2018-02-20,"13:00:37","USD000UTSTOM",56.72
"9632",163368686,2018-02-20,"13:00:37","USD000UTSTOM",56.72
"9633",163368692,2018-02-20,"13:00:37","USD000UTSTOM",56.72
"9634",163368693,2018-02-20,"13:00:37","USD000UTSTOM",56.7225
"9635",163368694,2018-02-20,"13:00:37","USD000UTSTOM",56.7225
"9636",163368696,2018-02-20,"13:00:37","USD000UTSTOM",56.72
"9637",163368687,2018-02-20,"13:00:37","USD000UTSTOM",56.72
"9638",163368685,2018-02-20,"13:00:37","USD000UTSTOM",56.72
"9639",163368684,2018-02-20,"13:00:37","USD000UTSTOM",56.72
"9640",163368683,2018-02-20,"13:00:37","USD000UTSTOM",56.72
"9641",163368682,2018-02-20,"13:00:37","USD000UTSTOM",56.72
"9642",163368681,2018-02-20,"13:00:37","USD000UTSTOM",56.72
"9643",163368680,2018-02-20,"13:00:37","USD000UTSTOM",56.72
"9644",163368678,2018-02-20,"13:00:37","USD000UTSTOM",56.72
"9645",163368675,2018-02-20,"13:00:37","USD000UTSTOM",56.72
"9646",163368676,2018-02-20,"13:00:37","USD000UTSTOM",56.72
"9647",163368672,2018-02-20,"13:00:37","USD000UTSTOM",56.72
"9648",163368673,2018-02-20,"13:00:37","USD000UTSTOM",56.72
"9649",163368697,2018-02-20,"13:00:38","USD000UTSTOM",56.72
"9650",163368698,2018-02-20,"13:00:41","USD000UTSTOM",56.72
"9651",163368699,2018-02-20,"13:00:41","USD000UTSTOM",56.72
"9652",163368713,2018-02-20,"13:00:45","USD000UTSTOM",56.725
"9653",163368722,2018-02-20,"13:00:53","USD000UTSTOM",56.725
"9654",163368723,2018-02-20,"13:00:55","USD000UTSTOM",56.725
"9655",163368724,2018-02-20,"13:00:56","USD000UTSTOM",56.72
"9656",163368725,2018-02-20,"13:00:56","USD000UTSTOM",56.72
"9657",163368726,2018-02-20,"13:00:57","USD000UTSTOM",56.725
"9658",163368727,2018-02-20,"13:00:57","USD000UTSTOM",56.725
"9659",163368728,2018-02-20,"13:00:58","USD000UTSTOM",56.725
"9660",163368729,2018-02-20,"13:00:58","USD000UTSTOM",56.725
"9661",163368730,2018-02-20,"13:00:59","USD000UTSTOM",56.72
"9662",163368733,2018-02-20,"13:01:00","USD000UTSTOM",56.725
"9663",163368731,2018-02-20,"13:01:00","USD000UTSTOM",56.725
"9664",163368734,2018-02-20,"13:01:01","USD000UTSTOM",56.725
"9665",163368736,2018-02-20,"13:01:02","USD000UTSTOM",56.7225
"9666",163368735,2018-02-20,"13:01:02","USD000UTSTOM",56.7225
"9667",163368737,2018-02-20,"13:01:02","USD000UTSTOM",56.72
"9668",163368738,2018-02-20,"13:01:04","USD000UTSTOM",56.7225
"9669",163368739,2018-02-20,"13:01:06","USD000UTSTOM",56.72
"9670",163368740,2018-02-20,"13:01:06","USD000UTSTOM",56.72
"9671",163368741,2018-02-20,"13:01:07","USD000UTSTOM",56.72
"9672",163368761,2018-02-20,"13:01:18","USD000UTSTOM",56.71
"9673",163368747,2018-02-20,"13:01:18","USD000UTSTOM",56.72
"9674",163368748,2018-02-20,"13:01:18","USD000UTSTOM",56.7175
"9675",163368749,2018-02-20,"13:01:18","USD000UTSTOM",56.715
"9676",163368750,2018-02-20,"13:01:18","USD000UTSTOM",56.715
"9677",163368751,2018-02-20,"13:01:18","USD000UTSTOM",56.715
"9678",163368752,2018-02-20,"13:01:18","USD000UTSTOM",56.715
"9679",163368753,2018-02-20,"13:01:18","USD000UTSTOM",56.7125
"9680",163368754,2018-02-20,"13:01:18","USD000UTSTOM",56.7125
"9681",163368755,2018-02-20,"13:01:18","USD000UTSTOM",56.7125
"9682",163368756,2018-02-20,"13:01:18","USD000UTSTOM",56.71
"9683",163368757,2018-02-20,"13:01:18","USD000UTSTOM",56.71
"9684",163368758,2018-02-20,"13:01:18","USD000UTSTOM",56.71
"9685",163368759,2018-02-20,"13:01:18","USD000UTSTOM",56.71
"9686",163368760,2018-02-20,"13:01:18","USD000UTSTOM",56.71
"9687",163368776,2018-02-20,"13:01:18","USD000UTSTOM",56.7075
"9688",163368777,2018-02-20,"13:01:18","USD000UTSTOM",56.7075
"9689",163368778,2018-02-20,"13:01:18","USD000UTSTOM",56.7075
"9690",163368790,2018-02-20,"13:01:18","USD000UTSTOM",56.7075
"9691",163368791,2018-02-20,"13:01:18","USD000UTSTOM",56.7075
"9692",163368797,2018-02-20,"13:01:19","USD000UTSTOM",56.705
"9693",163368801,2018-02-20,"13:01:33","USD000UTSTOM",56.7125
"9694",163368802,2018-02-20,"13:01:35","USD000UTSTOM",56.7125
"9695",163368803,2018-02-20,"13:01:35","USD000UTSTOM",56.7125
"9696",163368807,2018-02-20,"13:01:35","USD000UTSTOM",56.7125
"9697",163368808,2018-02-20,"13:01:35","USD000UTSTOM",56.715
"9698",163368819,2018-02-20,"13:02:01","USD000UTSTOM",56.715
"9699",163368828,2018-02-20,"13:02:05","USD000UTSTOM",56.7175
"9700",163368853,2018-02-20,"13:02:05","USD000UTSTOM",56.7225
"9701",163368852,2018-02-20,"13:02:05","USD000UTSTOM",56.72
"9702",163368847,2018-02-20,"13:02:05","USD000UTSTOM",56.72
"9703",163368846,2018-02-20,"13:02:05","USD000UTSTOM",56.72
"9704",163368845,2018-02-20,"13:02:05","USD000UTSTOM",56.72
"9705",163368844,2018-02-20,"13:02:05","USD000UTSTOM",56.72
"9706",163368843,2018-02-20,"13:02:05","USD000UTSTOM",56.72
"9707",163368842,2018-02-20,"13:02:05","USD000UTSTOM",56.72
"9708",163368840,2018-02-20,"13:02:05","USD000UTSTOM",56.72
"9709",163368839,2018-02-20,"13:02:05","USD000UTSTOM",56.72
"9710",163368838,2018-02-20,"13:02:05","USD000UTSTOM",56.72
"9711",163368830,2018-02-20,"13:02:05","USD000UTSTOM",56.7175
"9712",163368827,2018-02-20,"13:02:05","USD000UTSTOM",56.7175
"9713",163368826,2018-02-20,"13:02:05","USD000UTSTOM",56.7175
"9714",163368861,2018-02-20,"13:02:06","USD000UTSTOM",56.725
"9715",163368863,2018-02-20,"13:02:06","USD000UTSTOM",56.725
"9716",163368864,2018-02-20,"13:02:06","USD000UTSTOM",56.725
"9717",163368865,2018-02-20,"13:02:06","USD000UTSTOM",56.725
"9718",163368866,2018-02-20,"13:02:06","USD000UTSTOM",56.725
"9719",163368867,2018-02-20,"13:02:06","USD000UTSTOM",56.725
"9720",163368874,2018-02-20,"13:02:07","USD000UTSTOM",56.7225
"9721",163368873,2018-02-20,"13:02:07","USD000UTSTOM",56.7275
"9722",163368868,2018-02-20,"13:02:07","USD000UTSTOM",56.725
"9723",163368869,2018-02-20,"13:02:07","USD000UTSTOM",56.725
"9724",163368870,2018-02-20,"13:02:07","USD000UTSTOM",56.725
"9725",163368871,2018-02-20,"13:02:07","USD000UTSTOM",56.725
"9726",163368872,2018-02-20,"13:02:07","USD000UTSTOM",56.7275
"9727",163368879,2018-02-20,"13:02:08","USD000UTSTOM",56.7275
"9728",163368875,2018-02-20,"13:02:08","USD000UTSTOM",56.7275
"9729",163368876,2018-02-20,"13:02:08","USD000UTSTOM",56.7275
"9730",163368877,2018-02-20,"13:02:08","USD000UTSTOM",56.7275
